Phone timestamp;HR [bpm];HRV [ms];
2023-04-05T16:46:47.177;94
2023-04-05T16:46:48.155;93
2023-04-05T16:46:49.140;93
2023-04-05T16:46:50.159;91;6,4
2023-04-05T16:46:51.180;90;7,9
2023-04-05T16:46:52.155;90;6,8
2023-04-05T16:46:53.183;90;6,4
2023-04-05T16:46:54.159;89;10,2
2023-04-05T16:46:55.177;89;9,8
2023-04-05T16:46:56.158;90;13,6
2023-04-05T16:46:57.178;89;13,2
2023-04-05T16:46:58.158;90;12,8
2023-04-05T16:46:59.178;90;12,4
2023-04-05T16:47:00.208;90;12,1
2023-04-05T16:47:01.183;89;11,6
2023-04-05T16:47:02.153;89;11,3
2023-04-05T16:47:03.183;87;11,0
2023-04-05T16:47:04.151;87;10,8
2023-04-05T16:47:05.183;88;10,5
2023-04-05T16:47:06.151;87;10,3
2023-04-05T16:47:07.181;87;10,4
2023-04-05T16:47:08.159;87;10,1
2023-04-05T16:47:09.223;87;10,1
2023-04-05T16:47:10.156;87;10,3
2023-04-05T16:47:11.173;87;10,0
2023-04-05T16:47:12.205;86;10,0
2023-04-05T16:47:13.172;87;10,0
2023-04-05T16:47:14.161;88;10,1
2023-04-05T16:47:15.171;89;10,1
2023-04-05T16:47:16.154;89;7,4
2023-04-05T16:47:17.185;90;7,5
2023-04-05T16:47:18.143;90;7,5
2023-04-05T16:47:19.177;92;7,6
2023-04-05T16:47:20.149;92;7,8
2023-04-05T16:47:21.173;93;8,0
2023-04-05T16:47:22.141;93;7,8
2023-04-05T16:47:23.174;93;7,8
2023-04-05T16:47:24.150;94;7,8
2023-04-05T16:47:25.165;94;7,8
2023-04-05T16:47:26.201;93;7,6
2023-04-05T16:47:27.163;93;7,8
2023-04-05T16:47:28.196;93;7,5
2023-04-05T16:47:29.162;93;7,5
2023-04-05T16:47:30.194;93;7,5
2023-04-05T16:47:31.172;92;7,5
2023-04-05T16:47:32.196;92;5,2
2023-04-05T16:47:33.165;92;5,2
2023-04-05T16:47:34.192;93;6,4
2023-04-05T16:47:35.157;94;6,3
2023-04-05T16:47:36.201;94;6,2
2023-04-05T16:47:37.165;91;10,9
2023-04-05T16:47:38.181;91;10,9
2023-04-05T16:47:39.166;93;15,2
2023-04-05T16:47:40.179;93;15,0
2023-04-05T16:47:41.163;92;16,2
2023-04-05T16:47:42.226;93;16,2
2023-04-05T16:47:43.162;95;18,2
2023-04-05T16:47:44.184;95;18,4
2023-04-05T16:47:45.161;95;18,3
2023-04-05T16:47:46.189;97;18,9
2023-04-05T16:47:47.149;98;18,9
2023-04-05T16:47:48.185;96;22,1
2023-04-05T16:47:49.152;95;22,1
2023-04-05T16:47:50.184;96;23,6
2023-04-05T16:47:51.155;97;23,6
2023-04-05T16:47:52.183;95;24,5
2023-04-05T16:47:53.146;95;24,5
2023-04-05T16:47:54.177;97;25,6
2023-04-05T16:47:55.145;98;23,9
2023-04-05T16:47:56.177;97;23,9
2023-04-05T16:47:57.151;98;21,4
2023-04-05T16:47:58.221;99;21,4
2023-04-05T16:47:59.160;97;23,1
2023-04-05T16:48:00.216;95;23,1
2023-04-05T16:48:01.199;95;22,3
2023-04-05T16:48:02.174;96;22,1
2023-04-05T16:48:03.139;96;22,2
2023-04-05T16:48:04.173;96;21,5
2023-04-05T16:48:05.188;97;22,6
2023-04-05T16:48:06.171;99;19,6
2023-04-05T16:48:07.193;98;19,6
2023-04-05T16:48:08.168;100;18,6
2023-04-05T16:48:09.185;102;18,6
2023-04-05T16:48:10.173;102;17,0
2023-04-05T16:48:11.191;100;17,5
2023-04-05T16:48:12.158;100;17,4
2023-04-05T16:48:13.248;101;17,7
2023-04-05T16:48:14.157;100;17,7
2023-04-05T16:48:15.239;97;18,8
2023-04-05T16:48:16.219;98;19,1
2023-04-05T16:48:17.180;98;15,8
2023-04-05T16:48:18.165;96;17,6
2023-04-05T16:48:19.179;95;16,7
2023-04-05T16:48:20.162;96;17,8
2023-04-05T16:48:21.177;97;17,8
2023-04-05T16:48:22.160;93;19,3
2023-04-05T16:48:23.181;92;18,0
2023-04-05T16:48:24.159;94;18,2
2023-04-05T16:48:25.223;94;18,2
2023-04-05T16:48:26.158;92;18,3
2023-04-05T16:48:27.175;91;17,4
2023-04-05T16:48:28.161;93;17,4
2023-04-05T16:48:29.173;93;17,4
2023-04-05T16:48:30.150;91;15,6
2023-04-05T16:48:31.165;91;15,6
2023-04-05T16:48:32.260;93;16,9
2023-04-05T16:48:33.177;92;16,9
2023-04-05T16:48:34.193;92;16,9
2023-04-05T16:48:35.166;93;17,6
2023-04-05T16:48:36.149;93;17,6
2023-04-05T16:48:37.176;92;16,6
2023-04-05T16:48:38.142;91;16,6
2023-04-05T16:48:39.175;93;15,7
2023-04-05T16:48:40.141;93;15,7
2023-04-05T16:48:41.170;92;13,8
2023-04-05T16:48:42.139;92;13,8
2023-04-05T16:48:43.177;94;13,6
2023-04-05T16:48:44.188;94;13,6
2023-04-05T16:48:45.233;91;14,5
2023-04-05T16:48:46.207;92;14,8
2023-04-05T16:48:47.162;92;14,8
2023-04-05T16:48:48.191;92;14,4
2023-04-05T16:48:49.214;92;14,4
2023-04-05T16:48:50.194;94;13,1
2023-04-05T16:48:51.168;95;13,1
2023-04-05T16:48:52.190;93;12,8
2023-04-05T16:48:53.166;93;12,8
2023-04-05T16:48:54.230;95;14,0
2023-04-05T16:48:55.152;96;14,0
2023-04-05T16:48:56.188;95;15,1
2023-04-05T16:48:57.155;95;15,1
2023-04-05T16:48:58.188;97;16,6
2023-04-05T16:48:59.153;97;16,6
2023-04-05T16:49:00.184;94;18,1
2023-04-05T16:49:01.153;94;18,0
2023-04-05T16:49:02.191;96;18,5
2023-04-05T16:49:03.150;95;17,7
2023-04-05T16:49:04.186;93;18,2
2023-04-05T16:49:05.158;95;19,9
2023-04-05T16:49:06.173;97;19,9
2023-04-05T16:49:07.157;95;21,5
2023-04-05T16:49:08.178;94;21,5
2023-04-05T16:49:09.159;95;21,9
2023-04-05T16:49:10.171;96;21,9
2023-04-05T16:49:11.155;95;22,2
2023-04-05T16:49:12.171;94;20,5
2023-04-05T16:49:13.146;95;20,9
2023-04-05T16:49:14.191;95;19,6
2023-04-05T16:49:15.142;94;20,0
2023-04-05T16:49:16.167;94;18,5
2023-04-05T16:49:17.142;95;19,2
2023-04-05T16:49:18.175;95;17,8
2023-04-05T16:49:19.150;93;18,0
2023-04-05T16:49:20.165;94;17,6
2023-04-05T16:49:21.155;95;17,6
2023-04-05T16:49:22.212;94;17,1
2023-04-05T16:49:23.140;92;17,3
2023-04-05T16:49:24.163;93;14,9
2023-04-05T16:49:25.194;94;14,9
2023-04-05T16:49:26.169;92;12,5
2023-04-05T16:49:27.191;93;12,5
2023-04-05T16:49:28.160;94;13,3
2023-04-05T16:49:29.193;95;13,3
2023-04-05T16:49:30.162;92;13,5
2023-04-05T16:49:31.181;92;13,5
2023-04-05T16:49:32.165;94;13,9
2023-04-05T16:49:33.182;94;13,9
2023-04-05T16:49:34.169;92;14,5
2023-04-05T16:49:35.180;93;14,5
2023-04-05T16:49:36.162;94;13,6
2023-04-05T16:49:37.232;92;13,3
2023-04-05T16:49:38.153;93;13,3
2023-04-05T16:49:39.187;94;14,1
2023-04-05T16:49:40.157;94;14,1
2023-04-05T16:49:41.185;92;14,2
2023-04-05T16:49:42.208;93;14,2
2023-04-05T16:49:43.183;94;14,4
2023-04-05T16:49:44.151;94;14,4
