Phone timestamp;HR [bpm];HRV [ms];
2023-04-05T12:51:10.938;90
2023-04-05T12:51:11.935;90
2023-04-05T12:51:12.937;90
2023-04-05T12:51:13.963;90;9,1
2023-04-05T12:51:14.940;90;8,4
2023-04-05T12:51:15.970;89;8,6
2023-04-05T12:51:16.945;89;8,1
2023-04-05T12:51:17.964;88;8,9
2023-04-05T12:51:18.948;87;7,9
2023-04-05T12:51:19.968;86;7,4
2023-04-05T12:51:20.948;86;7,2
2023-04-05T12:51:21.963;85;7,0
2023-04-05T12:51:22.958;85;9,0
2023-04-05T12:51:23.963;86;8,8
2023-04-05T12:51:24.945;87;8,4
2023-04-05T12:51:25.959;88;8,4
2023-04-05T12:51:26.993;88;8,1
2023-04-05T12:51:27.970;90;7,9
2023-04-05T12:51:28.936;90;7,8
2023-04-05T12:51:29.966;90;7,7
2023-04-05T12:51:30.958;91;7,7
2023-04-05T12:51:31.970;90;7,7
2023-04-05T12:51:32.985;90;7,1
2023-04-05T12:51:33.968;90;7,3
2023-04-05T12:51:34.940;91;6,9
2023-04-05T12:51:35.963;91;6,4
2023-04-05T12:51:36.942;90;6,9
2023-04-05T12:51:37.955;89;7,7
2023-04-05T12:51:38.930;89;9,8
2023-04-05T12:51:39.952;87;9,8
2023-04-05T12:51:40.928;87;9,7
2023-04-05T12:51:42.010;86;8,5
2023-04-05T12:51:42.930;86;8,9
2023-04-05T12:51:43.968;86;8,9
2023-04-05T12:51:44.926;86;8,9
2023-04-05T12:51:45.969;86;8,7
2023-04-05T12:51:47.024;86;8,7
2023-04-05T12:51:47.950;85;8,6
2023-04-05T12:51:48.973;85;9,9
2023-04-05T12:51:49.998;86;9,9
2023-04-05T12:51:50.986;86;10,2
2023-04-05T12:51:51.942;86;9,9
2023-04-05T12:51:53.028;85;10,3
2023-04-05T12:51:53.946;85;10,5
2023-04-05T12:51:54.979;85;10,4
2023-04-05T12:51:55.938;85;11,1
2023-04-05T12:51:56.983;87;10,9
2023-04-05T12:51:57.943;88;11,8
2023-04-05T12:51:58.989;89;9,7
2023-04-05T12:51:59.943;90;9,7
2023-04-05T12:52:00.975;91;9,7
2023-04-05T12:52:01.950;92;9,3
2023-04-05T12:52:02.965;92;9,4
2023-04-05T12:52:03.953;92;9,4
2023-04-05T12:52:04.965;92;9,5
2023-04-05T12:52:05.939;92;9,4
2023-04-05T12:52:06.962;91;9,4
2023-04-05T12:52:07.940;91;9,5
2023-04-05T12:52:08.968;91;8,4
2023-04-05T12:52:09.946;90;8,2
2023-04-05T12:52:10.963;90;7,9
2023-04-05T12:52:11.934;90;7,9
2023-04-05T12:52:12.966;90;7,5
2023-04-05T12:52:13.934;89;7,2
2023-04-05T12:52:15.003;89;7,4
2023-04-05T12:52:15.926;89;6,4
2023-04-05T12:52:16.965;88;6,1
2023-04-05T12:52:17.948;88;4,4
2023-04-05T12:52:18.966;87;4,0
2023-04-05T12:52:19.924;87;4,9
2023-04-05T12:52:20.954;87;4,9
2023-04-05T12:52:21.948;87;4,9
2023-04-05T12:52:22.953;87;4,8
2023-04-05T12:52:23.930;88;4,7
2023-04-05T12:52:24.956;88;4,7
2023-04-05T12:52:25.985;88;4,6
2023-04-05T12:52:26.949;88;4,6
2023-04-05T12:52:27.983;88;4,6
2023-04-05T12:52:28.950;88;4,3
2023-04-05T12:52:30.029;87;4,5
2023-04-05T12:52:30.948;87;4,5
2023-04-05T12:52:31.977;87;4,5
2023-04-05T12:52:32.954;87;4,5
2023-04-05T12:52:33.972;87;4,3
2023-04-05T12:52:34.953;86;4,0
2023-04-05T12:52:35.969;87;4,1
2023-04-05T12:52:36.951;87;4,1
2023-04-05T12:52:37.967;87;3,9
2023-04-05T12:52:38.955;87;4,0
2023-04-05T12:52:39.967;87;2,6
2023-04-05T12:52:40.947;87;2,7
2023-04-05T12:52:41.964;87;2,7
2023-04-05T12:52:42.948;88;3,3
2023-04-05T12:52:44.061;88;3,1
2023-04-05T12:52:44.954;89;3,2
2023-04-05T12:52:45.963;89;3,2
2023-04-05T12:52:46.945;90;3,2
2023-04-05T12:52:48.010;90;3,1
2023-04-05T12:52:48.993;90;3,0
2023-04-05T12:52:49.959;91;3,0
2023-04-05T12:52:50.944;91;3,0
2023-04-05T12:52:51.963;91;3,1
2023-04-05T12:52:52.942;91;3,0
2023-04-05T12:52:53.958;91;3,0
2023-04-05T12:52:54.941;91;2,8
2023-04-05T12:52:55.956;91;2,8
2023-04-05T12:52:56.941;91;2,8
2023-04-05T12:52:57.955;91;2,8
2023-04-05T12:52:58.937;92;2,8
2023-04-05T12:52:59.955;91;2,7
